producto,categoria,proveedor,estado,metodo,imagen_local,fuente_imagen,pagina_fuente,error
Radeon RX 7600 8GB,Tarjetas gráficas,AMD,real,official-image-search,../src/imgs/productos/radeon-rx-7600-8gb.webp,https://www.amd.com/content/dam/amd/en/images/products/2029064-amd-radeon-rx-7600-og.jpg,https://www.amd.com/ko/where-to-buy/graphics/radeon.html,
Radeon RX 7600 XT 16GB,Tarjetas gráficas,AMD,real,official-image-search,../src/imgs/productos/radeon-rx-7600-xt-16gb.webp,https://www.amd.com/content/dam/amd/en/images/products/graphics/2648997-amd-radeon-7600xt.jpg,https://www.amd.com/en/products/graphics/desktops/radeon/7000-series/amd-radeon-rx-7600-xt.html,
Radeon RX 7700 XT 12GB,Tarjetas gráficas,AMD,real,official-image-search,../src/imgs/productos/radeon-rx-7700-xt-12gb.webp,https://www.amd.com/content/dam/amd/en/images/products/graphics/2648997-amd-radeon-6800xt.jpg,https://www.amd.com/de/products/graphics/desktops/radeon/6000-series/amd-radeon-rx-6800-xt.html,
Arc A750 8GB,Tarjetas gráficas,Intel,real,fallback-image-search,../src/imgs/productos/arc-a750-8gb.webp,https://game.intel.com/wp-content/uploads/2023/02/a750-post.png,https://www.gcccac.org/232007137317519.html,
NV3 1TB,Almacenamiento,Kingston,real,official-image-search,../src/imgs/productos/nv3-1tb.webp,https://media.kingston.com/kingston/product/SNV3S_1000GB-lg.jpg,https://www.kingston.com/br/ssd/nv3-nvme-pcie-ssd?capacity=1tb,
P3 Plus 1TB,Almacenamiento,Crucial,fallback,fallback-image-search,../src/imgs/productos/p3-plus-1tb.webp,https://media.karousell.com/media/photos/products/2023/2/27/crucial_p3_plus_1tb_ssd_1677485320_80c9db24.jpg,https://www.carousell.sg/p/crucial-p3-plus-1tb-pcie-gen-4-nvme-m-2-ssd-1217692561/,La URL no devolvió una imagen
990 EVO Plus 1TB,Almacenamiento,Samsung,real,official-image-search,../src/imgs/productos/990-evo-plus-1tb.webp,https://image-us.samsung.com/SamsungUS/home/computing/memory-storage/solid-state-drives/02192025/MZ-V9S1T0B-AM_003_R-Perspective_Black_1600x1200.jpg?$product-details-jpg$,https://www.samsung.com/us/computing/memory-storage/solid-state-drives/990-evo-plus-gen4-nvme-ssd-1tb-mz-v9s1t0b-am/,
MAG A550BN 550W,Fuentes de poder,MSI,real,official-image-search,../src/imgs/productos/mag-a550bn-550w.webp,https://asset.msi.com/resize/image/global/product/product_1626402693e1868be1e3c93ef5c58f46894b183d4e.png62405b38c58fe0f07fcef2367d8a9ba1/600.png,https://www.msi.com/Power-Supply/MAG-A550BN,
MAG A650BN 650W,Fuentes de poder,MSI,real,official-image-search,../src/imgs/productos/mag-a650bn-650w.webp,https://asset.msi.com/resize/image/global/product/product_1626402693b9af2a0bae70bbd789e14f3365b065bb.png62405b38c58fe0f07fcef2367d8a9ba1/600.png,https://www.msi.com/Power-Supply/MAG-A650BN,
CX650 650W,Fuentes de poder,Corsair,real,fallback-image-search,../src/imgs/productos/cx650-650w.webp,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/Power-Supply-Units/base-cx-series-2023-config/CX650/CX650_01.webp",https://www.corsair.com/uk/en/p/psu/cp-9020278-uk/cx-series-cx650-650-watt-80-plus-bronze-atx-power-supply-uk-cp-9020278-uk,
RM750e 750W,Fuentes de poder,Corsair,real,fallback-image-search,../src/imgs/productos/rm750e-750w.webp,"https://assets.corsair.com/image/upload/c_pad,q_85,h_1100,w_1100,f_auto/products/rme-series-2025/Gallery/CP-9020295-NA_03.webp",https://www.nexxcom.lk/corsair-rm750e-750w-80-gold-fully-modular-low-noise-atx3-1/,
H5 Flow,Gabinetes,NZXT,real,fallback-image-search,../src/imgs/productos/h5-flow.webp,https://nzxt.com/cdn/shop/files/h5-flow-tool-less-access-primary-lg.png?v=1744861607&width=1200,https://nzxt.com/en-intl/products/h5-flow,
